"py/object","match_id","timestamp","score1","score2","players2__001","players2__002","players1__001","players1__002"
"core.FoosballMatch","7d6e086b","2016-11-22T18:38:32.679995","3","10","U0HTVTLBS","U0HTQ6XQQ","U0HTQJMHN","U0HTJ2DK6"
"core.FoosballMatch","8c74dc24","2016-09-09T17:19:39.614862","10","6","U0HTJ2DK6","U0HTQ6XQQ","U1CUW4Z7S","U0J8ETRH7"
"core.FoosballMatch","48975f89","2016-09-08T12:31:15.394223","10","7","U0HTVEJKC","U1CUW4Z7S","U0J8ETRH7","U0J13UGAF"
"core.FoosballMatch","739d39cf","2016-07-15T17:42:46.316536","4","10","U0JBNHJ3X","U0HTQ6XQQ","U0HTQJMHN","U0HTVTLBS"
"core.FoosballMatch","f661ccd5","2016-11-04T14:02:29.886442","6","10","U1CUW4Z7S","U0J8ETRH7","U0J13UGAF","U0KA76231"
"core.FoosballMatch","1519ffb3","2016-11-21T15:34:45.921208","10","2","U0JBNHJ3X","U1CUW4Z7S","U0KCZ16LT","U0J8ETRH7"
"core.FoosballMatch","a90a09c5","2016-12-22T10:56:35.037844","10","2","U0HTSHTR9","U0HTVTLBS","U0KCZ16LT","U0HTR4KRT"
"core.FoosballMatch","688e8b94","2016-07-13T16:00:26.808152","10","4","U0HTPS3JS","U0JBNHJ3X","U0J8ETRH7","U0HTVEJKC"
"core.FoosballMatch","381c35e5","2016-12-12T17:43:46.401855","10","5","U0KCZ16LT","U0HTVTLBS","U0HTQJMHN","U0HTQ6XQQ"
"core.FoosballMatch","020fef9c","2016-10-21T11:27:15.068015","9","10","U0HTR4KRT","U0HTVEJKC","U0HTJ2DK6","U0HTPM4P8"
"core.FoosballMatch","f10decd5","2016-07-25T11:01:36.022310","8","10","U0JBNHJ3X","U0J13UGAF","U0J8ETRH7","U0HTVTLBS"
"core.FoosballMatch","5076c00b","2016-12-01T16:15:25.290818","5","10","U1CUW4Z7S","U0KA76231","U0HTSHTR9","U0JBNHJ3X"
"core.FoosballMatch","9f2b8d4a","2016-11-21T15:34:51.222400","10","2","U0HTVTLBS","U0HTQ6XQQ","U0HTVEJKC","U0J8ETRH7"
"core.FoosballMatch","e8ddcfe6","2016-08-03T17:14:17.186122","10","9","U0HTPM4P8","U0JBNHJ3X","U0KA76231","U0J8ETRH7"
"core.FoosballMatch","ba01ceaa","2016-09-21T14:27:20.225960","10","7","U0KCZ16LT","U0KA76231","U0JBNHJ3X","U1CUW4Z7S"
"core.FoosballMatch","2cb82a8f","2016-08-11T16:52:39.454623","10","0","U0HTQ6XQQ","U0JBNHJ3X","U0HTQJMHN","U0HTVEJKC"
"core.FoosballMatch","72f5e8ae","2016-12-06T16:34:04.455513","10","4","U0KA76231","U0HTSHTR9","U0W5T83EK","U0J8ETRH7"
"core.FoosballMatch","96813fd1","2016-11-18T15:52:18.504011","9","10","U0KCZ16LT","U0JBNHJ3X","U0HTPM4P8","U0HTJ2DK6"
"core.FoosballMatch","92bf99c4","2016-12-13T14:23:20.135663","10","7","U0HTVTLBS","U0HTR4KRT","U0HTPS3JS","U0KA76231"
"core.FoosballMatch","3e7e0a86","2016-07-20T11:26:09.714752","9","10","U0J13UGAF","U0HTRQ5HQ","U0JBNHJ3X","U0J8ETRH7"
"core.FoosballMatch","fd66a8a7","2016-09-28T11:03:19.793110","10","5","U0J13UGAF","U0KA76231","U1CUW4Z7S","U0J8ETRH7"
"core.FoosballMatch","165d4312","2016-09-05T10:29:50.307315","9","10","U0HTJ2DK6","U0HTVEJKC","U0HTVTLBS","U0KCZ16LT"
"core.FoosballMatch","27788513","2016-09-14T17:28:41.956889","10","3","U0KA76231","U0KCZ16LT","U0JBNHJ3X","U0HTVTLBS"
"core.FoosballMatch","0fb9aaf9","2016-11-29T14:34:19.180640","7","10","U0HTJ2DK6","U0J0XLJUD","U0KA76231","U0HTVTLBS"
"core.FoosballMatch","08c6a193","2016-07-12T17:03:50.853469","10","7","U0J8ETRH7","U0HTSHTR9","U0JBNHJ3X","U1CUW4Z7S"
"core.FoosballMatch","70f0a128","2016-10-12T13:48:41.711567","10","9","U0KA76231","U1CUW4Z7S","U0HTVTLBS","U0JBNHJ3X"
"core.FoosballMatch","8d255f62","2016-09-01T11:39:51.603454","10","3","U0HTQ6XQQ","U0HTJ2DK6","U0HTQJMHN","U0HTPUK8R"
"core.FoosballMatch","f253f2ed","2016-12-22T10:56:25.263268","10","8","U0HTSHTR9","U0HTVTLBS","U0KCZ16LT","U0HTR4KRT"
"core.FoosballMatch","331ae5f8","2016-10-20T17:20:57.965979","6","10","U17V6C5K6","U1CUW4Z7S","U0JBNHJ3X","U0W5T83EK"
"core.FoosballMatch","7bb9401a","2016-08-26T16:53:31.751133","7","10","U17V6C5K6","U0J8ETRH7","U0HTRQ5HQ","U0W5T83EK"
"core.FoosballMatch","08e78164","2016-12-02T16:57:19.030348","10","5","U0KCZ16LT","U0HTRQ5HQ","U0JBNHJ3X","U0J8ETRH7"
"core.FoosballMatch","68a84cfd","2016-08-18T12:13:03.527187","9","10","U0J0XLJUD","U0JBNHJ3X","U0HTJ2DK6","U0HTVTLBS"
"core.FoosballMatch","e43736be","2016-11-02T13:53:19.255887","10","9","U0HTJ2DK6","U0HTSHTR9","U0KA76231","U0JBNHJ3X"
"core.FoosballMatch","9582059f","2016-09-22T17:27:29.776609","10","4","U0HTVEJKC","U0J0XLJUD","U0HTQJMHN","U0JBNHJ3X"
"core.FoosballMatch","e12e6b16","2016-07-21T16:30:46.000725","10","2","U1NGZQV3M","U0W5T83EK","U0UEK3GMR","U0KCZ16LT"
"core.FoosballMatch","ef34dea1","2016-11-17T10:33:58.723738","9","10","U0HTVEJKC","U0HTJ2DK6","U0HTSHTR9","U0HTPM4P8"
"core.FoosballMatch","166c3152","2016-07-29T18:22:30.195203","10","6","U0W5T83EK","U0HTQ6XQQ","U0JBNHJ3X","U0J0XLJUD"
"core.FoosballMatch","d1290a26","2016-07-26T10:23:46.582272","4","10","U0J0XLJUD","U17V6C5K6","U0JBNHJ3X","U0W5T83EK"
"core.FoosballMatch","0b6c51b2","2016-12-15T17:07:33.791626","7","10","U0HTR4KRT","U0J0XLJUD","U0HTQJMHN","U0HTSHTR9"
"core.FoosballMatch","468f3a4f","2016-08-09T15:21:59.743029","10","7","U1CUW4Z7S","U07V0F5AS","U0J13UGAF","U0KA76231"
"core.FoosballMatch","89c01d07","2016-12-09T17:31:10.304868","10","9","U0J8ETRH7","U0JBNHJ3X","U0KA76231","U0KCZ16LT"
"core.FoosballMatch","3ab3012c","2016-08-18T17:00:10.717105","5","10","U0HTQJMHN","U0HTPM4P8","U0HTVEJKC","U0JBNHJ3X"
"core.FoosballMatch","127fd721","2016-09-29T16:01:59.561358","10","6","U1CUW4Z7S","U0KA76231","U0JBNHJ3X","U0J8ETRH7"
"core.FoosballMatch","a80d4cf9","2016-08-26T18:09:05.933630","10","9","U17V6C5K6","U0W5T83EK","U0HTPM4P8","U0HTQ6XQQ"
"core.FoosballMatch","7c450aaa","2016-12-13T16:08:42.250583","3","10","U0HTVTLBS","U0HTQJMHN","U0HTPM4P8","U0JBNHJ3X"
"core.FoosballMatch","82d35cc0","2016-11-22T11:36:42.117591","5","10","U0KCZ16LT","U0HTVTLBS","U0HTSHTR9","U0JBNHJ3X"
"core.FoosballMatch","b5d802fd","2016-12-13T18:25:50.196017","7","10","U0JBNHJ3X","U0J0XLJUD","U0HTPM4P8","U0KA76231"
"core.FoosballMatch","d13d0457","2016-12-07T18:12:26.752206","9","10","U0J0XLJUD","U0HTVTLBS","U0HTPM4P8","U0HTR4KRT"
"core.FoosballMatch","28a61056","2016-08-22T17:10:16.735341","5","10","U17V6C5K6","U0J8ETRH7","U0JBNHJ3X","U0HTPM4P8"
"core.FoosballMatch","54ca2487","2016-07-15T15:27:58.831785","10","8","U0KA76231","U0J8ETRH7","U0HTVEJKC","U07V0F5AS"
"core.FoosballMatch","887067d7","2016-08-08T17:41:21.649017","10","8","U0HTQJMHN","U0HTVEJKC","U0J0XLJUD","U0HTQ6XQQ"
"core.FoosballMatch","45d42338","2016-10-19T14:32:54.680004","7","10","U0HTR4KRT","U0HTQJMHN","U0HTVEJKC","U0HTVTLBS"
"core.FoosballMatch","c1b331b5","2016-12-22T11:33:00.590543","2","10","U0HTSHTR9","U0J0XLJUD","U0HTVEJKC","U0HTPS3JS"
"core.FoosballMatch","b4162d3c","2016-08-10T14:04:57.242788","4","10","U0HTPS3JS","U0HTVEJKC","U0HTQJMHN","U0HTSHTR9"
"core.FoosballMatch","1eb74dba","2016-07-29T18:09:43.733389","8","10","U0KA76231","U0HTQ6XQQ","U0JBNHJ3X","U0J0XLJUD"
"core.FoosballMatch","da49cbee","2016-09-28T16:23:01.427059","7","10","U0J8ETRH7","U0JBNHJ3X","U0KCZ16LT","U0HTQJMHN"
"core.FoosballMatch","5ddaa5e5","2016-12-02T12:00:33.179918","10","5","U0J13UGAF","U0HTRQ5HQ","U0KCZ16LT","U0J8ETRH7"
"core.FoosballMatch","ec15345d","2016-07-12T17:03:58.638273","5","10","U0J8ETRH7","U0HTSHTR9","U0JBNHJ3X","U1CUW4Z7S"
"core.FoosballMatch","ff343944","2016-12-07T13:11:53.538738","10","4","U0HTR4KRT","U0HTQJMHN","U0HTSHTR9","U0JBNHJ3X"
"core.FoosballMatch","ccbf2e9b","2016-11-28T18:07:27.821310","5","10","U0HTJ2DK6","U0J0XLJUD","U0HTQ6XQQ","U0HTVTLBS"
"core.FoosballMatch","21b26721","2016-12-15T18:26:08.293010","5","10","U0HTPM4P8","U0J0XLJUD","U0J8ETRH7","U0JBNHJ3X"
"core.FoosballMatch","ba45dd6f","2016-08-19T17:49:40.649183","9","10","U0J8ETRH7","U0HTPM4P8","U0HTQJMHN","U0HTVTLBS"
"core.FoosballMatch","33d294ff","2016-08-26T16:52:02.423013","10","6","U0W5T83EK","U17V6C5K6","U0HTRQ5HQ","U1CUW4Z7S"
"core.FoosballMatch","6841da24","2016-12-09T14:07:47.671257","10","8","U0HTPS3JS","U0J8ETRH7","U0HTPM4P8","U0HTVEJKC"
"core.FoosballMatch","c1209ee7","2016-10-04T13:42:37.193428","5","10","U0JBNHJ3X","U0J8ETRH7","U0J0XLJUD","U0KA76231"
"core.FoosballMatch","2988d157","2016-12-09T14:44:46.553221","10","8","U0HTPS3JS","U0KCZ16LT","U0HTVTLBS","U0HTVEJKC"
"core.FoosballMatch","e03aea36","2016-09-27T17:42:51.045565","10","5","U1CUW4Z7S","U0KCZ16LT","U0J13UGAF","U0HTPS3JS"
"core.FoosballMatch","c1856a5b","2016-12-02T14:27:27.731192","10","4","U0HTPM4P8","U0HTPS3JS","U0HTSHTR9","U0HTVEJKC"
"core.FoosballMatch","0d134343","2016-11-17T15:26:43.784406","10","6","U0HTVEJKC","U0HTSHTR9","U0HTR4KRT","U0HTPS3JS"
"core.FoosballMatch","b3f281d9","2016-12-08T17:09:16.907234","10","2","U0HTR4KRT","U0J8ETRH7","U0KA76231","U0HTVTLBS"
"core.FoosballMatch","ace75328","2016-12-07T10:45:01.818481","10","3","U0HTQ6XQQ","U0HTVTLBS","U0HTSHTR9","U0KCZ16LT"
"core.FoosballMatch","bc1d821c","2016-08-10T15:30:40.657984","10","6","U0KA76231","U0HTPM4P8","U0J13UGAF","U0J8ETRH7"
"core.FoosballMatch","446bef30","2016-07-26T17:07:56.780441","10","4","U17V6C5K6","U0JBNHJ3X","U0J8ETRH7","U0J13UGAF"
"core.FoosballMatch","307bc3c1","2016-07-26T17:25:40.994698","10","7","U0HTPM4P8","U0HTQ6XQQ","U0HTVEJKC","U0HTVTLBS"
"core.FoosballMatch","9fab95e3","2016-07-21T14:34:45.576816","10","6","U0W5T83EK","U0JBNHJ3X","U1CUW4Z7S","U0J8ETRH7"
"core.FoosballMatch","82725d89","2016-07-26T14:50:33.926768","10","8","U0HTVTLBS","U0HTPM4P8","U0HTSHTR9","U0HTVEJKC"
"core.FoosballMatch","3a72cd8d","2016-12-08T15:59:25.035780","10","7","U0JBNHJ3X","U0HTPUK8R","U0J0XLJUD","U0HTVTLBS"
"core.FoosballMatch","d5990db9","2016-08-17T13:06:17.726935","10","3","U0HTVTLBS","U0JBNHJ3X","U0HTJ2DK6","U0J8ETRH7"
"core.FoosballMatch","69288a28","2016-08-17T16:32:31.613832","6","10","U0KCZ16LT","U0J0XLJUD","U0HTVTLBS","U07V0F5AS"
"core.FoosballMatch","565a3c76","2016-08-03T12:09:53.961492","10","6","U0HTVEJKC","U0HTSHTR9","U0J0XLJUD","U0HTJ2DK6"
"core.FoosballMatch","82e857c5","2016-10-24T17:09:13.266491","10","6","U0HTVTLBS","U0HTJ2DK6","U0HTPM4P8","U0HTQJMHN"
"core.FoosballMatch","a1861c2b","2016-12-20T16:07:38.645262","10","9","U0HTVTLBS","U1CUW4Z7S","U0KCZ16LT","U0J8ETRH7"
"core.FoosballMatch","ca6dc460","2016-11-24T18:49:15.078928","10","6","U0HTQJMHN","U0HTRQ5HQ","U0HTQ6XQQ","U0JBNHJ3X"
"core.FoosballMatch","c6932f32","2016-07-12T17:03:32.204625","10","8","U0HTSHTR9","U0JBNHJ3X","U0W5T83EK","U0J8ETRH7"
"core.FoosballMatch","db262c1e","2016-07-26T17:25:55.052346","10","8","U0HTPM4P8","U0HTQ6XQQ","U0JBNHJ3X","U0HTVTLBS"
"core.FoosballMatch","3758e77b","2016-11-08T17:44:05.806522","10","6","U1CUW4Z7S","U0KCZ16LT","U0JBNHJ3X","U0J8ETRH7"
"core.FoosballMatch","ae0eee5e","2016-12-02T12:00:40.292075","10","9","U0J13UGAF","U0HTRQ5HQ","U0KCZ16LT","U0J8ETRH7"
"core.FoosballMatch","7e745291","2016-11-23T11:27:06.984758","2","10","U0HTR4KRT","U0J0XLJUD","U0HTSHTR9","U0HTPM4P8"
"core.FoosballMatch","5414ebce","2016-08-15T12:28:15.928289","6","10","U0J0XLJUD","U0JBNHJ3X","U0HTQJMHN","U0HTQ6XQQ"
"core.FoosballMatch","bf5b7ded","2016-10-24T14:10:01.101313","10","9","U0HTSHTR9","U0HTQ6XQQ","U0J8ETRH7","U1CUW4Z7S"
"core.FoosballMatch","52675835","2016-08-04T17:35:05.302412","5","10","U0HTSHTR9","U0HTVEJKC","U0834SYHL","U0HTPM4P8"
"core.FoosballMatch","ec19b214","2016-09-15T16:08:13.432167","8","10","U0HTVTLBS","U0HTVEJKC","U0HTQJMHN","U0HTSHTR9"
"core.FoosballMatch","c7052f63","2016-07-29T14:50:22.029756","5","10","U0HTVTLBS","U0JBNHJ3X","U0J0XLJUD","U0HTSHTR9"
"core.FoosballMatch","4c73e648","2016-11-10T14:55:57.647268","10","3","U0HTPUK8R","U2SDVEFL0","U0HTPM4P8","U0KCZ16LT"
"core.FoosballMatch","3a03c2a1","2016-08-10T17:29:33.177784","10","8","U0HTSHTR9","U0J0XLJUD","U0HTQJMHN","U0HTQ6XQQ"
"core.FoosballMatch","e5f9b94f","2016-09-22T16:17:49.632560","2","10","U1CUW4Z7S","U0KCZ16LT","U0HTVTLBS","U0JBNHJ3X"
"core.FoosballMatch","d365cdc1","2016-07-20T17:48:06.144499","6","10","U0HTVEJKC","U0J0XLJUD","U0HTQJMHN","U0HTVTLBS"
